BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,"This species occurs in some protected areas. Protection of coastal forest habitat would be of some benefit to the Zulu Dusk-hawker. More research is needed to gather data on range, population status, and threats.",The Zulu Dusk-hawker occurs mainly in coastal forests (Tarboton and Tarboton 2002).,Missing,Population size and trends are unknown.,Unknown,"<em>The Zulu Dusk-hawker (Gynacantha usambarica)</em> occurs in coastal forest areas of eastern and southern Africa (Kenya to South Africa, and Malawi).",01/01/2008,3.1,,true,LC,,false,false,,"From its distribution pattern it is expected that the Zulu Dusk-hawker (<em>Gynacantha usambarica)</em> is widespread in coastal areas. It is listed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category, however destruction of coastal forest habitats is a concern in parts of the species' range and the effects of these activities on this species should be studied and monitored.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Destruction of coastal forest and coastal thicket.,,59879
Afrotropical,,"Forest, thick bush.",,Population size is unknown.,Unknown,"Global distribution: East Kenya to Uganda, Natal and north Botswana. In East Africa the species is widespread in Kenya, Tanzania, Uganda, Malawi and Burundi (its occurrence in Burundi is assumed).",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Forest destruction.,,59881
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable. Habitat/site based conservation is also required.","Forest, thick bush.",Missing,Population size is unknown.,Unknown,"The species has been recorded from Ethiopia and Kenya to Democratic Republic of Congo and Central African Republic, south to Natal and northern Botswana.<br/><br/>In central Africa, it is known from Democratic Republic of Congo and Zambia.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is recorded from southern Ethiopia (Clausnitzer and Dijkstra 2005), might occur in southern Sudan and northern Kenya as well, where hardly any surveys have been done. Currently not applicable for the region, because less than 5% of the populations occurs in the assessment region.<br/><br/>In southern Africa, this species is recorded from Botswana, Mozambique, South Africa, and Zambia. It is inferred to also occur in Namibia (east Caprivi). It is found only in the tropical parts of these countries. In South Africa, it is known only from swamp forest in coastal KwaZulu-Natal (Samways 2006 in press). <br/><br/>All previous records from western Africa are considered erroneous (Dijkstra 2005) as it is not present within the region.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>In northeastern Africa, the species has only been recorded from one site in the region, which is most likely the result of limited survey. It is currently likely to be Not Applicable for the region, because less than 5% of the populations occurs in the assessment region. A wider distribution is assumed however, and the species is assessed as Data Deficient.<br/><br/>The species does not occur within the western Africa region. All previous records from western Africa are considered erroneous (Dijkstra 2005).",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Forest destruction is a threat to the species. Loss of habitat through tree removal, agriculture and the construction of infrastructures for ecotourism (Samways 2006 in press).",,59881
Afrotropical,No information available but research into trends/monitoring of the species would be valuable.,"Pools and swamps in forest, bush and bushland.",Missing,No information available.,Unknown,"The species is widespread in tropical Africa. All the records need to be checked as are often confused with <em>O. brachiale</em> and the ones from Somalia are known to be erroneous.<br/><br/>In central Africa, it is known from Angola, Cameroon, Democratic Republic of Congo, Central African Republic, Congo, Equatorial Guinea, Sao Tome, Principe and Zambia.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi. It is known to be common and widespread in all five countries (assumed in Burundi).<br/><br/>In northeastern Africa, the species is listed for Sudan by Tsuda, although this record needs confirmation. It is also likely to occur in southern Ethiopia.<br/><br/>In southern Africa, this species occurs in the humid north. It also ranges south into South Africa.<br/><br/>In western Africa, the species is known from Gambia to Nigeria.",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats caused by agriculture is a threat.,,59964
Afrotropical,No information available.,"Pools and swamps in forest, bush and bushland.",Missing,No information available.,Unknown,<em>Orthetrum stemmale</em> is widespread in tropical Africa.,01/01/2008,3.1,,true,LC,,false,false,,"<em>Orthetrum stemmale</em> is listed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,--- Other purpose text ---<br/>Not applicable.--- Other wild text ---<br/>Not applicable.--- Other source text ---<br/>Not applicable.,59964
Afrotropical,"Information on taxonomy, population ecology, habitat status and population trends would be valuable. Some of the species distribution occurs in protected areas.",Seasonal pools in savannah areas; not found within forested areas.,,Population size is unknown.,Unknown,"The species has been recorded from Kenya to northeast South Africa and Cote d'Ivoire and probably to Senegal.<br/><br/>The species has not yet recorded from central Africa, but occurrence likely in eastern Democratic Republic of Congo and northern Democratic Republic of Congo, Central African Republic and Congo.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is only recorded from Sudan in the region, but assumed for northern Kenya and southern Ethiopia as well.<br/>In southern Africa, this species is known from Mozambique, South Africa (from a limited area in northern KwaZulu-Natal (Samways 2006)), Zambia and Zimbabwe.<br/><br/>In western Africa, the species is known from Cameroon to Cote d'Ivoire and probably Senegal",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats due to agriculture are the main plausible threats. However, this species is unlikely to be threatened across its whole range.",,59900
Afrotropical,No information available.,Seasonal pools.,Missing,No information available.,Unknown,"<em>Lestes ictericus</em> has a range that extends from South Africa, north to Kenya and west to Ivory Coast, avoiding moist and forested areas. Because of its ecology (breeds at seasonal pools, difficult to find in the dry season and not at permanent water bodies), the species is assumed to occur in more countries as yet listed.",01/01/2008,3.1,,true,LC,,false,false,,"<em>Lestes ictericus</em> is listed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),There are no serious threats affecting this species across its global range.,--- Other purpose text ---<br/>Not applicable.--- Other wild text ---<br/>Not applicable.--- Other source text ---<br/>Not applicable.,59900
Afrotropical,,Swampy habitats.,,Population size is unknown.,Unknown,"Global distribution: Widespread in sub-Saharan Africa except rain forest areas. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59968
Afrotropical,No information available but research into trends and monitoring of the species would be valuable.,Swampy habitats.,,Population size is unknown. The species is locally common all across the southern Africa region.,Unknown,"The species is widespread in sub-Saharan Africa except from rainforest areas.<br/><br/>In central Africa, it is known from Angola, Democratic Republic of Congo and Zambia, from Congo, Cameroon and Central African Republic assumed.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is recorded from Ethiopia and Sudan, and assumed to be present also in Uganda.<br/><br/>In southern Africa, this species is widespread and locally common all over the region.<br/><br/>In western Africa, the species is known from Nigeria, Cote d'Ivoire and Sierra Leone so far.",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats caused by agriculture.,,59968
Afrotropical,,"Slow streams, pools, swamps (favours streams more than other <em>Lestes</em> species).",,Population size is unknown.,Unknown,"Global distribution: Nigeria to Kenya and South Africa. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59904
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable. Habitat/site based conservation is also required.","Slow streams, pools, swamps (favours streams more than other <em>Lestes</em> species).",,Population size is unknown.,Unknown,"The species has been recorded from Nigeria to Kenya and South Africa.<br/><br/>In central Africa, it is known from southern Democratic Republic of Congo.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is listed by Tsuda for Sudan, which needs confirmation. Listed NA for the region, until more surveys confirm presence (or absence) in the region.<br/><br/>In southern Africa, this species occurs in all countries, except for Namibia.<br/><br/>In western Africa, the species is known from Nigeria",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>In central, eastern and southern Africa, the species is assessed as Least Concern.<br/><br/>Less than 5% of the global distribution is found within the western Africa region, therefore the species is assessed as Not Applicable.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats due to agriculture and water pollution are inferred threats. However, this species is unlikely to be seriously threatened across its whole range.",,59904
Afrotropical,,"Swamps, lake shores.",,Population size is unknown.,Unknown,"Global distribution: Nigeria to Kenya and South Africa. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59905
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable. Habitat/site based conservation is also required.","Swamps, lake shores.",,Population size is unknown.,Unknown,"The species has been recorded from Ethiopia to South Africa and known from Guinea-Bissau, Nigeria, Cote d'Ivoire and Togo presence in Guinea and Senegal requires confirmation.<br/><br/>In central Africa, it is known from southern Democratic Republic of Congo (Kundelengu Plateau)<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is recorded from Ethiopia, Kenya and Somalia, for Sudan assumed<br/><br/>In southern Africa, this species occurs in all countries, except for Angola, Lesotho and Swaziland.<br/><br/>In western Africa, the species is known from Guinea-Bissau, Nigeria, Cote d'Ivoire and Togo presence in Guinea and Senegal requires confirmation.",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats due to agriculture and water pollution are inferred threats. However, this species is unlikely to be seriously threatened across its whole range.",,59905
Afrotropical,,"Swamps, slow streams.",,Population size is unknown.,Unknown,"Global distribution: Nigeria to Kenya and South Africa. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59906
Afrotropical,"No information available. Further information on the species ecology, habitats, distribution and threats are required.","Swamps, slow streams; found in forested areas in Botswana.",,Population size is unknown.,Unknown,"The species has been recorded from Nigeria to Kenya and South Africa.<br/><br/>In central Africa, it is known from northern and southern Democratic Republic of Congo, occurrence in northern Central African Republic and n. Congo assumed.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is only known from one locality in Somalia, thus listed NA for the region. A wider distribution (northern Kenya, southern Sudan and southern Ethiopia) is assumed.<br/><br/>In southern Africa, this species occurs in Mozambique, South Africa, Zambia and Zimbabwe.<br/><br/>In western Africa, the species is known from Nigeria",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>In northeastern Africa, only one record is known from Somalia within the region, although a wider occurrence in region is assumed. The species is listed Data Deficient in the region according to the available information.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats due to agriculture and water pollution are the inferred threats. However, it is unlikely that this species is seriously threatened across its whole range.",,59906
Afrotropical,,"Rivers or large streams, woodland.",,Population size is unknown.,Unknown,"Global distribution: Zambia, Kenya, Tanzania and Malawi. In East Africa the species is known from Rufiji Delta (Tanzania), Shimba Hills and Ewaso Nyiro River and tributaries (Kenya), Nkatha Bay and near Mt. Mulanje (Malawi).",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59981
Afrotropical,"No information available. Research required into the population numbers and range, and trends/monitoring of population.","Rivers or large streams, woodland. Larvae burrow in sandy patches of the river bottom.",,"In southern Africa, locally common with large populations, as typical for most <em>Paragomphus</em> species.",Unknown,"The species is known from Zambia, Kenya, Uganda, Tanzania, Burundi and Malawi (Nkatha Bay and near Mount Mulanje). <br/><br/>In eastern Africa, it has been recorded from Rufiji Delta (Tanzania), Shimba Hills and Ewaso Nyiro River and tributaries (Kenya), Nkatha Bay and near Mount Mulanje (Malawi).<br/><br/>In northeastern Africa, the species is recorded from one locality in Kenya (Morun River) in the northeastern Africa region. The species is very seasonal and large parts of northern Kenya, southern Sudan and southern Ethiopia have not been surveyed at all, hence the species is assumed to be wider distributed in the region than currently known. <br/><br/>In southern Africa, the species is known from the larger tropical rivers: Zambezi, Okavango and Limpopo Rivers.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>In eastern and southern Africa, the species is listed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.<br/><br/>In notheastern Africa, it is only known from one locality in the region, but a wider distribution is assumed. It is currently assessed as Data Deficient in the region.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Water pollution, drainage and destruction of swampy habitats caused by agriculture are threats to the species.",,59981
Afrotropical,,"Pools, swamps in forest or woodland.",,Population size is unknown.,Unknown,"Global distribution: Nigeria to Ethiopia and South Africa. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59907
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable. Habitat/site based conservation is also required.","A highly seasonal species (Clausnitzer pers. comm.). Pools, swamps in forest or woodland. Mainly a highland species.",,Population size is unknown.,Unknown,"The species has been recorded from Ethiopia and South Africa. Possibly present further west to highland areas in Nigeria and Cameroon, but not known.<br/><br/>In central Africa, it is known from Democratic Republic of Congo, occurrence in Congo and Central African Republic assumed.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>In northeastern Africa, the species is only recorded from Ethiopia in the region, but assumed in appropriate habitats in northern Kenya and southern Sudan as well.<br/><br/>In southern Africa, this species occurs in all countries, except for Namibia.<br/><br/>In western Africa, the species is known from Nigeria.<br/><br/>The species has been recorded from Nigeria to Ethiopia and southern Africa.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>It is also listed as Least Concern in all other regions in view of its wide distribution.<br/><br/>In western Africa, less than 5% of the global distribution is found within the region, and therefore the species is assessed as Not Applicable.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats due to agriculture and wood extraction. Water pollution is also a threat to this species. However, this species is unlikely to be seriously threatened across its whole range",,59907
Afrotropical,,"Streams and rivers with gallery forest in bush, woodland and forest.",,Population size is unknown.,Unknown,"Global distribution: South Africa to Kenya. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Destruction of gallery forest and pollution.,,59908
Afrotropical,"No precise information is available.<br/><br/>In South Africa, further searches for this species are needed, especially in the Waterberg and in KwaZulu-Natal, where it has not been recorded since 1960 (Samways 2006 in press). Monitoring of the Sabie River population is also required (Samways 2006 in press). No information is available on conservation measures in place or planned elsewhere in its range.","Streams and rivers with gallery forest in bush, woodland and forest. The adults usually perch and mate in the shade of trees. Only the female comes to the river for oviposition.",,Population size is unknown.,Unknown,"The species has been recorded from South Africa to Kenya and Democratic Republic of Congo. Type record likely from Kenya. Records from Mali and Cameroon considered dubious and require confirmation.<br/><br/>In central Africa, it is known from Angola, Zambia, Democratic Republic of Congo and Cameroon.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda, Malawi and Burundi: common and widespread in all five countries (Burundi assumed).<br/><br/>The species has not been recorded from northeastern Africa region, but likely from northern Kenya, southern Sudan and southern Ethiopia.<br/><br/>In southern Africa, the species is widespread in rivers, except for in the arid south-west (Kalahari and Namibia) and the Cape. In South Africa, the species is known from less than ten, widespread, locations; it has been recorded from the southern Kruger National Park, coastal, northern KwaZula-Natal, Gauteng, and the Limpopo Province (Samways 2006 in press).<br/><br/>The only record from western Africa, from Cote d'Ivoire, probably originates from confusion with other species. Therefore does not occur within the region.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>In central, eastern and southern Africa, the species is assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.<br/><br/>In northeastern Africa, the species has not yet been recorded, but occurrence in northern Kenya, southern Ethiopia and southern Sudan is assumed. However, it is considered Not Applicable.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Destruction of gallery forest, groundwater abstraction and pollution are threats to the species.<br/><br/>In South Africa, natural catastrophes appear synergistic with urbanisation in northern KwaZulu-Natal, and invasive alien trees may also be a threat alongside water extraction for agricultural purposes (Samways 2006 in press).",,59908
Afrotropical,No information available but research into habitat status and trends/monitoring of the species would be valuable.,"Streams and rivers with gallery forest in savannah, bush and woodland.",Missing,Population size is unknown.,Unknown,"The species is widespread in sub-Saharan Africa except rainforest regions.<br/><br/>It has been recorded from the entire central African region except Sao Tome and Principe. <br/><br/>In eastern Africa, it has been recorded from Kenya, Tanzania, Uganda, Malawi, where it is considered common and widespread. It is assumed to be present in Burundi. <br/><br/>In northeastern Africa, the species has been recorded from Ethiopia and Somalia; occurrence in Sudan is likely. <br/><br/>In southern Africa, the species occurs in most countries in southern Africa except Lesotho.<br/><br/>In western Africa, the species is known from Senegal and Guinea eastwards in western Africa.",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Water pollution and destruction of gallery forest caused by agriculture and wood extraction are threats to the species.,,59983
Afrotropical,No information available.,"The species occupies streams and rivers with gallery forest in savanna, bush and woodland.",Missing,No information is available on population trends.,Unknown,"<em>The Glistening Demoiselle (Phaon iridipennis)</em> is widespread in sub-Saharan Africa, except in rainforest regions.",01/01/2008,3.1,,true,LC,,false,false,,"<em>The Glistening Damoiselle (Phaon iridipennis)</em> is listed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Destruction of gallery forest and pollution are threats in parts of the species' range.,,59983
Afrotropical,,Woodland or forest streams and rivers.,,Population size is unknown.,Unknown,"Global distribution: Kenya to DRC, Botswana, Angola, and Malawi. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59986
Afrotropical,"No conservation measures known but research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring would be valuable.","The species is known from woodland or forest streams and rivers. In southern Africa it is found in savannah streams and rivers with gallery forest. Larvae bury in muddy sediments. Adults are rarely recorded, but exuviae are conspicuous and allow easy recording of the species.",,Population size is unknown.,Unknown,"The species has been recorded from Kenya to Democratic Republic of Congo, Botswana, Angola, Malawi.<br/><br/>In central Africa, it is known from Democratic Republic of Congo in central Africa. <br/><br/>In eastern Africa, it has been recorded from Kenya, Tanzania, Uganda, Malawi and Burundi (assumed): common and widespread. <br/><br/>In southern Africa, this species is recorded as <em>P. brunneus</em>. It is known from rivers in all countries except for Lesotho and Swaziland. There are only a few records from South Africa. Zambezi, Okavango, Limpopo and Kunene River basins.",01/05/2009,3.1,,true,LC,,false,false,,This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The major threats to the species are habitat loss through drainage and destruction/deforestation of swampy habitats caused by agriculture and wood extraction, as well as water pollution.",,59986
Afrotropical,,"Rivers, streams and large lakes in savanna, bush or forest.",,Population size is unknown.,Unknown,"Global distribution: In sub-Saharan Africa widespread. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Pollution.,,59912
Afrotropical,Monitoring of this species is needed.,"Sunny rivers and streams in savannah, bush or forest, preferably with large rocks. Also inhabits rocky shores of large lakes.",,Population size is unknown.,Unknown,"The species is widespread in sub-Saharan Africa. The record from Gambia is unlikely, and that for Ethiopia is probably a georeference error.<br/><br/>In central Africa, it is known from Angola, Cameroon, Democratic Republic of Congo, Gabon, Zambia, for Equatorial Guinea and Congo assumed.<br/><br/>    <p>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda and Burundi, where it is common and widespread. It is assumed to occur also in Malawi.<br/></p>Records from the northeastern Africa region (Tsuda from Sudan and Ethiopia) have not been confirmed. For the time being, it is listed as Data Deficient in the region.<br/><br/>In southern Africa, this species is widespread in large perennial rivers in the region, through the Orange River basin to the Western Cape. It is not found in the arid southwest or at the Cape. <br/><br/>In western Africa, the species is known from Sierra Leone to Nigeria.",01/05/2009,3.1,,true,LC,,false,false,,"The species is assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.<br/><br/>In northeastern Africa, records from Sudan (Tsuda) and Ethiopia need confirmation. For the time being listed as Data Deficient in this region.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Water pollution and agriculture are considered to be potential threat to the species.,,59912
Afrotropical,,"Bush and forest, often montane.",,Population size is unknown.,Unknown,"Global distribution: Transvaal to Kenya, DRC. In east Africa the species has been recorded from Malawi, Kenya, Tanzania and Uganda. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59995
Afrotropical,"Research into taxonomy, populations, population size and trends, threats, ecology and taxonomy are proposed. Site management would be also valuable. In South Africa, no specific measures are in place or are planned at present. However, conservation of catchments in general, removal of alien trees, and cessation of trout introductions are all beneficial to the species (Samways 2006 in press).","Bush and forest, often montane. Montane streams and rivers in hot, bushy savannah (Samways 2006 in press).",,Population size is unknown.,Unknown,"The species has a wide distribution from South Africa to Kenya and Democratic Republic of Congo.<br/><br/>In central Africa, it is known from southern Democratic Republic of Congo.<br/><br/>In eastern Africa, it has been recorded in Kenya, Tanzania, Uganda and Malawi. It is assumed to be also present in Burundi.<br/><br/>In northeastern Africa, the species is listed by Tsuda for Somalia, the record is most likely erroneous (see Carfi 1974). Thus listed as Not Applicable in this region.<br/><br/>In southern Africa, this species occurs in river systems in the eastern part of the southern Africa region (Zambezi and Limpopo catchments). It has recently been rediscovered in South Africa.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats that is unlikely to be declining fast enough to qualify for listing in a threatened category. It is therefore assessed as Least Concern.<br/><br/>The species was listed by Tsuda for Somalia, although the record is most likely erroneous. Therefore, it is listed as Not Applicable for the northeastern Africa region.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"No information available for its entire range, although habitat loss due to agriculture and wood extraction, as well as water pollution, are known to be affecting to the species. <br/><br/>In South Africa, threats include invasive alien vegetation, mine effluent and possibly agricultural run-off and alien fish (Samways 2006 in press).",,59995
Afrotropical,,"Streams and rivers in bush, common and widespread.",,Population size is unknown.,Unknown,"Global distribution: Widespread in sub-saharan Africa except forest. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59997
