Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Ris, F.",,,,59833,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Samways, M.J.",,,,59833,,,,,151-171,,,,Odonatologica,,,Published,Red Listed Odonata Species of Africa,journal article,,31,2002
Assessment,,,"Pinhey, E.",,,,59833,,,,,61-68,,,,Arnoldia,,,Published,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),journal article,,9,1981
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,59833,,,,,139-160,,,,Cimbebasia,,,,Annotated checklist of the Odonata of Namibia,Journal Article,,18,2003
Assessment,,,"Pinhey, E.",,,,59833,,,,,1–16,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,59833,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59833,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59833,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,59833,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59833,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,59833,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,59833,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,59833,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,59833,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,59833,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,59833,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59833,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59833,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Kipping, J.",,,,59833,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,59833,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,59833,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59833,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,"Dijkstra, K.-D.B.",,,,59833,,,,,14-Mar,,,,Journal of Afrotropical Zoology,,,Published,"A review of continental Afrotropical <i>Ceriagrion</i> (Odonata, Coenagrionidae)",journal article,,2,2005
Assessment,,,IUCN,04-May-06,,,59833,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59835,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59835,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Longfield, C.",,,,59835,,,,,13–42,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part II,Journal Article,,45,1959
Assessment,,,"Ris, F.",,,,59835,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Pinhey, E.",,,,59835,,,,,61-68,,,,Arnoldia,,,Published,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),journal article,,9,1981
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,59835,,,,,139-160,,,,Cimbebasia,,,,Annotated checklist of the Odonata of Namibia,Journal Article,,18,2003
Assessment,,,"Pinhey, E.",,,,59835,,,,,1–16,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,59835,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59835,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59835,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,59835,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59835,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,59835,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,59835,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,59835,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,59835,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,59835,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,59835,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59835,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59835,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Samways, M.J.",,,,59835,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Kipping, J.",,,,59835,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,59835,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,59835,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,"Samways, M.J.",,,,59835,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59835,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,IUCN,04-May-06,,,59835,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,6985,"Pinhey, E.",,,,59845,,,,,,Journal,,,,,,,African Chlorocyphidae (Odonata),rldb,,,1967
Assessment,,6964,"Dijkstra, K.-D.",,,,59845,,,,,,Journal,,,,,,,Problems in <i>Chlorocypha</i> classification: four cases from West Africa and a discussion of the taxonomic pitfalls (Odonata: Chlorocyphidae),rldb,,,2003
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59845,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59845,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Samways, M.J.",,,,59845,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Pinhey, E.",,,,59845,,,,,161–197,,,,Journal of the Entomological Society of South Africa,,,,African Chlorocyphidae (Odonata),Journal Article,,29,1967
Assessment,,,"Dijkstra, K,-D.B.",,,,59845,,,,,109–126,,,,International Journal of Odonatology,,,,Problems in <i>Chlorocypha</i> classification: four cases from West Africa and a discussion of the taxonomic pitfalls (Odonata: Chlorocyphidae),Journal Article,,6,2003
Assessment,,,"Pinhey, E.",,,,59845,,,,,61-68,,,,Arnoldia,,,,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),Journal Article,,9,1981
Assessment,,,"Pinhey, E.",,,,59845,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59845,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59845,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59845,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Samways, M.J.",,,,59845,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59845,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,IUCN,04-May-06,,,59845,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59854,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,6990,"Samways, M.",,,,59854,,,,,,Journal,,,,,,,Diversity and conservation status of South African dragonflies (Odonata),rldb,,,1999
Assessment,,26230,"Samways, M.J.",,,,59854,,,,,,Journal,,,,,,,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa.,rldb,,,2002
Assessment,,26233,"Samways, M.J.",,,,59854,,,,,,Journal,,,,,,,National Red List of South African Odonata.,rldb,,,2006
Assessment,,26235,"Samways, M.J. and Taylor, S.",,,,59854,,,,,,Journal,,,,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata).,rldb,,,2004
Assessment,,6699,"Pinhey, E.",,,,59854,,,,,,Journal,,,,,,,A check-list of the Odonata of Zimbabwe and Zambia.,rldb,,,1984
Assessment,,26241,"Tarboton, W. and Tarboton, M.",,,,59854,,,,,,Book,,,,,,,<i>A fieldguide to the damselflies of South Africa</i>.,rldb,,,2005
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59854,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,26036,IUCN,,,,59854,,,,,,Database,,,,,,,2006 IUCN Red List of Threatened Species,rldb,,,2006
Assessment,,6979,"Pinhey, E.",,,,59856,,,,,,Book,,,,,,,A survey of the dragonflies of Eastern Africa,rldb,,,1961
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59856,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Longfield, C.",,,,59856,,,,,13–42,,,,Publicações Culturais Companhia de Diamantes de Angola,,,Published,The Odonata of North Angola. Part II,journal article,,45,1959
Assessment,,,"Samways, M.J.",,,,59856,,,,,13–62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Pinhey, E.",,,,59856,,,,,,London,British Museum (Natural History),,,,,,A survey of the dragonflies of Eastern Africa,Book,,,1961
Assessment,,,"Ris, F.",,,,59856,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Pinhey, E.",,,,59856,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59856,,,,,557-631,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,Checklist of the Odonata of Mozambique,Journal Article,,6,1981
Assessment,,,"Pinhey, E.",,,,59856,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59856,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,59856,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59856,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,59856,,,,,16-Jan,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,59856,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,59856,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,59856,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,59856,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,59856,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,59856,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59856,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59856,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Kipping, J.",,,,59856,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,59856,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,59856,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,"Samways, M.J.",,,,59856,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59856,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,59856,,,,,139–160,,,,Cimbebasia,,,Published,Annotated checklist of the Odonata of Namibia,journal article,,18,2003
Assessment,,,IUCN,04-May-06,,,59856,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59858,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59858,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Longfield, C.",,,,59858,,,,,13–42,,,,Publicações Culturais Companhia de Diamantes de Angola,,,Published,The Odonata of North Angola. Part II,journal article,,45,1959
Assessment,,,"Samways, M.J.",,,,59858,,,,,13–62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Ris, F.",,,,59858,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Samways, M.J.",,,,59858,,,,,151-171,,,,Odonatologica,,,Published,Red Listed Odonata Species of Africa,journal article,,31,2002
Assessment,,,"Pinhey, E.",,,,59858,,,,,61-68,,,,Arnoldia,,,Published,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),journal article,,9,1981
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,59858,,,,,139-160,,,,Cimbebasia,,,,Annotated checklist of the Odonata of Namibia,Journal Article,,18,2003
Assessment,,,"Pinhey, E.",,,,59858,,,,,1–16,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,59858,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59858,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59858,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,59858,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59858,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,59858,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,59858,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,59858,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,59858,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,59858,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,59858,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59858,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59858,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Kipping, J.",,,,59858,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,59858,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,59858,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59858,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,IUCN,04-May-06,,,59858,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59876,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59876,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Samways, M.J.",,,,59876,,,,,151-171,,,,Odonatologica,,,Published,Red Listed Odonata Species of Africa,journal article,,31,2002
Assessment,,,"Pinhey, E.",,,,59876,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59876,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59876,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59876,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,59876,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,59876,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,59876,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59876,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
