Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57714,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57714,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,57714,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Visser, J.",,,,57714,,,21,,21-28,,,,Journal of Herpetological Association of Africa,,,,Calling and spawning dates of the south-western Cape frogs,Journal Article,,,1979
Assessment,,,"Palmer, N.G.",,,,57714,,,36,,113,,,,African Wildlife,,,,The bushpig and the rain frog,Journal Article,,,1982
Assessment,,"","Pickersgill, M.","","",,57714,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,57715,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57715,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57715,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,57715,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Visser, J.",,,,57715,,,21,,21-28,,,,Journal of Herpetological Association of Africa,,,,Calling and spawning dates of the south-western Cape frogs,Journal Article,,,1979
Assessment,,,"Lambiris, A.J.L.",,,,57716,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A. and Howell, K.M.",,,,57716,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,57716,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,57716,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,57716,"","","","",503-553,"","","",Annals of the Natal Museum,"","",Published,"Amphibia Zambesiaca. 1. Scolecomorphidae, Pipidae, Microhylidae, Hemisidae, Arthroleptidae",journal article,"",26,1985
Assessment,,,"Poynton, J.C.",,,,57716,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57716,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57716,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,57716,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,57716,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,,"Poynton, J.C.",,,,57716,,,17,,67-74,,,,S. Afr. J. Zool.,,,,On species pairs among southern African amphibians,Journal Article,,,1982
Assessment,,,"Channing, A. and Minter, L.",,,,57716,,,53,,147-154,,,,African Journal of Herpetology,,,,A new rain frog from Tanzania (Microhylidae: Breviceps),Journal Article,,,2004
Assessment,,,"Poynton, J.C. and Pritchard, S.",,,,57716,,,11,,313-318,,,,Zoologica Africana,,,,Notes on the biology of Breviceps (Anura: Microhylidae),Journal Article,,,1976
Assessment,,,"Minter, L.R.",,,,57716,,,38,,5-19,,,,Annals of the Natal Museum,,,,"Advertisement call structure and morphology of Breviceps mossambicus Peter and B. poweri Parker (Anura, Microhylidae) from northern Mozambique",Journal Article,,,1997
Assessment,,,"Witte, G.-F. de",,,,57716,,,"(C,1)3(4)",,153-188,,,,Ann. Mus. Roy. Congo Belge,,,,Batraciens recoltes au Congo Belge par le Dr H. Schouteden et par M G.-F. de Witte,Journal Article,,,1934
Assessment,,"","Poynton, J.C.","","",,57716,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Poynton, J.C.","","",,57716,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Pickersgill, M.","","",,57716,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,57717,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57717,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Wager, V.A.",,,,57717,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57717,,,,,,Johannesburg,Witwatersrand University Press,,,,,,South African Frogs,Book,,,1979
Assessment,,,"Channing, A.",,,,57719,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,57719,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57719,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57719,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,57719,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Bates, M.F. and Haacke, W.D.",,,,57722,,,,,101-158,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,Published,The frogs of Lesotho: diversity and distribution,journal article,,19,2003
Assessment,,,"Lambiris, A.J.L.",,,,57722,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,57722,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57722,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57722,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,57722,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Poynton, J.C. and Pritchard, S.",,,,57722,,,11,,313-318,,,,Zoologica Africana,,,,Notes on the biology of Breviceps (Anura: Microhylidae),Journal Article,,,1976
Assessment,,,"Branch, W.R.",,,,57722,,,37,,17-44,,,,Journal of Herpetological Association of Africa,,,,"The herpetofauna of the Cape Province, South Africa: new distribution records and zoogeography",Journal Article,,,1990
Assessment,,,"Pickersgill, M.",,,,57722,,,14,,23-27,,,,Journal of Herpetological Association of Africa,,,,Some surprises in the ecology of Breviceps v. verrucosus Rapp,Journal Article,,,1975
Assessment,,,"Minter, L.R.",,,,57722,,,,,,"University of Witwatersrand, Johannesburg",Unpublished PhD thesis,,,,,,Aspects of the reproductive biology of <i>Breviceps</i>,Book,,,1998
Assessment,,,"Channing, A.",,,,57950,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Channing, A. and Griffin, M.","","",,57950,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57950,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,57950,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Channing, A.",,,,57950,,,11,,299-312,,,,Zoologica Africana,,,,Life histories of frogs in the Namib Desert,Journal Article,,,1976
Assessment,,,"Gradwell, N.",,,,57950,,,30,,53-62,,,,Herpetologica,,,,"Descriptions of the tadpole of Phrynomantis annectans, and comments on its gill irrigation mechanism",Journal Article,,,1974
Assessment,,"","Ruas, C.","","",,57950,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Lanza, B.","","",,57951,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,,"Channing, A. and Howell, K.M.",,,,57951,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,57951,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,57951,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,57951,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,57951,"","","","",503-553,"","","",Annals of the Natal Museum,"","",Published,"Amphibia Zambesiaca. 1. Scolecomorphidae, Pipidae, Microhylidae, Hemisidae, Arthroleptidae",journal article,"",26,1985
Assessment,,"","Broadley, D.G.","","",,57951,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,57951,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,57951,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,57951,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Wager, V.A.",,,,57951,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,57951,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,57951,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,,"Colley, B.",,,,57951,,,12,,43,,,,Herptile,,,,Phrynomerus bifasciatus - an unpleasant experience,Journal Article,,,1987
Assessment,,,"Jaeger, R.G.",,,,57951,,,1971,,160-161,,,,Copeia,,,,Toxic reaction to skin secretions of the frog Phrynomerus bifasciatus,Journal Article,,,1971
Assessment,,"","Lanza, B.","","",,57951,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,57951,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,57951,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,57951,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Stevens, R.A.","","",,57951,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Pickersgill, M.","","",,57951,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58059,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58059,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,58059,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58059,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58059,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58059,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Lambiris, A.J.L.",,,,58066,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58066,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58066,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58066,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,58066,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58066,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,58066,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58066,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58066,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58066,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58066,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,,"Channing, A., Brun, C., Burger, M., Febvre, S. and Moyer, D.",,,,58066,,,,,139-148,,,,African Journal of Herpetology,,,,A new cryptic dainty frog from East Africa (Anura: Ranidae: <i>Cacosternum</i>),Journal Article,,54,2005
Assessment,,,"van de Elzen, P. and van den Elzen, R.",,,,58066,,,28,,108-116,,,,Bonner Zoologische Beiträege,,,,Untersuchungen zur Chorstruktur Sudwest-Afrikanischer Anuren: Erste Ergebnisse,Journal Article,,,1977
Assessment,,,"Douglas, R.",,,,58066,,,37,,45,,,,Journal of Herpetological Association of Africa,,,,Life history notes. Cacosternum boettgeri,Journal Article,,,1970
Assessment,,,"Clauss, B. and Clauss, R.",,,,58066,,,,,,Windhoek,Gamsberg Macmillan and Deutscher Entwicklungsdienst,,,,,,Common amphibians and reptiles of Botswana. More than just creepy-crawlies,Book,,,
Assessment,,"","Largen, M.J.","","",,58066,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,"","Pickersgill, M.","","",,58066,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Haacke, W.D.",,,,58069,,,26,,277-283,,,,Annals of the Transvaal Museum,,,,New herpetological records from South West Africa,Journal Article,,,1970
Assessment,,,"Channing, A.",,,,58069,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Channing, A. and Griffin, M.","","",,58069,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58069,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58069,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Boycott R.C., de Villiers, A.L. and Scott, E.",,,,58069,,,36,,333-341,,,,Journal of Herpetology,,,,"A new species of <i>Cacosternum</i> Boulenger, 1887 (Anura: Ranidae) from the Karoo Region of South Africa",Journal Article,,,2002
Assessment,,,"De Villiers, C.G.S.",,,,58069,,,28,,378-391,,,,South African Journal of Science,,,,Further notes on the genus Cacosternum including an account of the cranial anatomy of Cacosternum namaquense Werner,Journal Article,,,1931
Assessment,,,"Lambiris, A.J.L.",,,,58070,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58070,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,58070,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58070,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58070,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58070,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58070,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,,"van Dijk, D.E.",,,,58070,,,6,,119-132,,,,Zoologica Africana,,,,Anuran ecology in relation particularly to oviposition and development out of water,Journal Article,,,1971
Assessment,,"","Pickersgill, M.","","",,58070,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58071,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Poynton, J.C.",,,,58071,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Poynton, J.C.",,,,58071,,,,,319-332,,,,Annals of the Natal Museum,,,Published,Descriptions of southern African amphibians,journal article,,15,1963
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58071,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58071,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58071,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Bates, M.F.","","",,58071,"","","","",3-14,"","","",Madoqua,"","",Published,"Distribution and diversity of amphibians in the Free State, South Africa",journal article,"",19,1995
Assessment,,"","Pickersgill, M.","","",,58071,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,58072,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,58072,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58072,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Rose, W.",,,,58072,,,,,,Cape Town,Maskew Miller,,,,,,The Reptiles and Amphibians of Southern Africa,Book,,,1962
Assessment,,"","Pickersgill, M.","","",,58072,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,58076,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,58076,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58076,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58076,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58076,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Kok, D.J. and Seaman, M.T.",,,,58076,,,23,,238-240,,,,South African Journal of Zoology,,,,<i>Natalobatrachus bonebergi</i> (Anura: Ranidae). Aspects of early development and adult size,Journal Article,,,1988
Assessment,,,"Kok, D.J. and Seaman, M.T.",,,,58076,,,40,,10-17,,,,Lammergeyer,,,,"Aspects of the biology, habitat requirements and conservation status of <i>Natalobatrachus bonebergi</i> (Anura: Ranidae)",Journal Article,,,1989
Assessment,,"","Lanza, B.","","",,58086,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,,"Channing, A. and Howell, K.M.",,,,58086,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,58086,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,58086,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58086,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58086,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,,"Poynton, J.C.",,,,58086,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58086,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Dudley, C.O.",,,,58086,,,4,,87-99,,,,Nyala,,,,The herpetofauna of the Lake Chilwa basin,Journal Article,,,1978
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58086,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58086,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,58086,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
